src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
104.46.162.226,192.168.29.189,443,64321,IP,0.7981841564178467,8,6326,63403.914489010334,790.75,0,4434,0.0,0.11402630805969238,0.1545695767175039,1.0,HTTPS
104.46.162.226,192.168.29.189,443,64321,IP,0.4032471179962158,8,2694,53446.13523115682,336.75,0,2089,0.0,0.05760673114231655,0.10063365292657575,1.0,HTTPS
192.168.29.189,20.42.65.84,56368,443,IP,0.5503909587860107,7,551,8008.852488643092,78.71428571428571,0,153,0.0,0.09173182646433513,0.10795729835003022,1.0,HTTPS
162.159.153.247,192.168.29.189,443,55606,IP,0.3188800811767578,6,1992,49974.89947064629,332.0,0,682,0.0,0.06377601623535156,0.06312517546145797,1.0,HTTPS
104.46.162.226,192.168.29.189,443,64321,IP,0.16214203834533691,5,759,37448.64725992651,151.8,0,519,0.0,0.04053550958633423,0.06844101248691933,1.0,HTTPS
192.168.29.189,20.42.65.84,56369,443,IP,0.2168569564819336,2,121,4463.771952276035,60.5,0,66,0.0,0.2168569564819336,0.0,1.0,HTTPS
192.168.29.1,224.0.0.1,0,0,IP,0.0,1,50,0.0,50.0,0,50,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.0,1,54,0.0,54.0,0,54,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.1,192.168.29.189,50938,7,IP,0.0,1,43,0.0,43.0,0,43,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.1,224.0.0.1,0,0,IP,0.0,1,50,0.0,50.0,0,50,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.4985840320587158,2,108,1732.9074828819446,54.0,0,54,0.0,0.4985840320587158,0.0,1.0,UNKNOWN
192.168.29.1,192.168.29.189,0,0,802.1Q,0.0,1,50,0.0,50.0,0,50,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.0,1,54,0.0,54.0,0,54,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,57.144.146.192,63767,443,IP,0.007963895797729492,2,121,121548.55168697423,60.5,0,66,0.0,0.007963895797729492,0.0,1.0,HTTPS
192.168.29.189,57.144.146.192,63767,443,IP,0.04596996307373047,2,147,25581.921789100263,73.5,0,93,0.0,0.04596996307373047,0.0,1.0,HTTPS
192.168.29.189,20.42.65.84,56368,443,IP,1.040146827697754,2,121,930.6378428731618,60.5,0,66,0.0,1.040146827697754,0.0,1.0,HTTPS
192.168.29.189,20.42.65.84,56369,443,IP,0.5468339920043945,2,121,1770.1898824025936,60.5,0,66,0.0,0.5468339920043945,0.0,1.0,HTTPS
192.168.29.189,57.144.146.192,63767,443,IP,0.00013494491577148438,3,186,11026721.469964664,62.0,0,78,0.0,6.747245788574219e-05,6.747245788574219e-05,1.0,HTTPS
192.168.29.1,224.0.0.1,0,0,IP,0.0,1,50,0.0,50.0,0,50,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,239.255.255.250,53008,1900,IP,3.040252923965454,4,848,2231.3932984073945,212.0,0,212,0.0,1.013417641321818,0.0013769902458358764,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.0,1,62,0.0,62.0,0,62,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.0,1,54,0.0,54.0,0,54,0.0,0.0,0.0,1.0,UNKNOWN
192.168.29.189,224.0.0.22,0,0,IP,0.0,1,62,0.0,62.0,0,62,0.0,0.0,0.0,1.0,UNKNOWN
